drug,cell_line_id,n_cells
Dabrafenib,CVCL_1717,5833
Tolcapone,CVCL_0332,5833
Selinexor,CVCL_1550,5833
Tubulin inhibitor 6,CVCL_1517,5832
L-Eflornithine (monohydrochloride),CVCL_1119,5832
Lapatinib ditosylate,CVCL_1478,5831
Canagliflozin (hemihydrate),CVCL_0397,5830
Lidocaine (hydrochloride),CVCL_1285,5830
Omeprazole (sodium),CVCL_0320,5830
Sacubitril/Valsartan,CVCL_0023,5830
Lactate (calcium),CVCL_0023,5829
Lopinavir,CVCL_1119,5829
Pexidartinib (hydrochloride),CVCL_0023,5829
Estrone sulfate (potassium),CVCL_0023,5828
Harringtonine,CVCL_1717,5828
Omeprazole,CVCL_1547,5828
Econazole,CVCL_1495,5828
Citalopram (hydrobromide),CVCL_0332,5828
Pentamidine (isethionate),CVCL_0366,5827
Folic acid,CVCL_1094,5827
Tranilast,CVCL_0399,5826
Darinaparsin,CVCL_1517,5826
Filgotinib,CVCL_1097,5826
BAY1125976,CVCL_0131,5825
Tadalafil,CVCL_1119,5825
Elagolix sodium,CVCL_1517,5825
Salicylic acid,CVCL_1717,5824
Thymol,CVCL_0131,5824
Silodosin,CVCL_0428,5824
Osimertinib (mesylate),CVCL_0399,5823
Clofarabine,CVCL_0480,5823
Tomivosertib,CVCL_1550,5822
Larotrectinib,CVCL_1517,5822
Canagliflozin (hemihydrate),CVCL_1478,5821
Tirabrutinib,CVCL_0320,5821
Dapagliflozin,CVCL_0069,5821
Talc,CVCL_0023,5821
Dimethyl fumarate,CVCL_0332,5820
Sacubitril/Valsartan,CVCL_1550,5820
Ritonavir,CVCL_1381,5819
Terfenadine,CVCL_1635,5818
Lonafarnib,CVCL_1478,5817
GSK1059615,CVCL_0371,5816
LB-100,CVCL_1550,5816
Larotrectinib sulfate,CVCL_1381,5816
Glasdegib,CVCL_0069,5816
Nafamostat (mesylate),CVCL_1381,5814
Bimatoprost,CVCL_1550,5814
Rapamycin,CVCL_1056,5814
Benproperine (phosphate),CVCL_0399,5814
(R)-Verapamil (hydrochloride),CVCL_0366,5813
Malotilate,CVCL_1547,5813
Raltitrexed,CVCL_0397,5812
Esmolol (hydrochloride),CVCL_1717,5812
Brivudine,CVCL_1056,5811
Methotrexate,CVCL_0023,5811
Malotilate,CVCL_1635,5811
MK-8353,CVCL_1285,5810
Bicalutamide,CVCL_C466,5810
Dabrafenib,CVCL_0504,5810
Pralsetinib,CVCL_0320,5810
Voriconazole,CVCL_0371,5809
Acetohexamide,CVCL_1517,5808
Homoharringtonine,CVCL_1097,5806
Radotinib,CVCL_0320,5806
Demeclocycline,CVCL_1381,5806
Encorafenib,CVCL_0371,5805
L-Thyroxine (sodium salt pentahydrate),CVCL_0152,5805
Mitoxantrone (dihydrochloride),CVCL_1285,5805
Darinaparsin,CVCL_0371,5804
Larotrectinib,CVCL_0504,5803
Darolutamide,CVCL_0293,5803
Altretamine,CVCL_1285,5801
Clotrimazole,CVCL_0320,5801
Fedratinib (hydrochloride hydrate),CVCL_1381,5801
Elimusertib hydrochloride,CVCL_0293,5801
S-Adenosyl-L-methionine (disulfate tosylate),CVCL_1731,5801
Fulvestrant,CVCL_0131,5800
Goserelin (acetate),CVCL_0069,5800
Oleic acid,CVCL_0131,5800
Pyridoxine (hydrochloride),CVCL_1693,5799
Trimetrexate,CVCL_1547,5798
Triclosan,CVCL_0366,5798
Allantoin,CVCL_1097,5797
Artesunate,CVCL_0179,5797
Pioglitazone,CVCL_1381,5797
BAY1125976,CVCL_0320,5797
Tadalafil,CVCL_1056,5797
Resveratrol,CVCL_1381,5796
Fluvoxamine,CVCL_1285,5796
MK-8353,CVCL_1517,5796
Vilanterol,CVCL_1550,5796
BI-3406,CVCL_0397,5794
Entrectinib,CVCL_0359,5794
Cytarabine (hydrochloride),CVCL_0399,5794
Homoharringtonine,CVCL_1550,5794
Gemfibrozil,CVCL_0397,5794
Paclitaxel,CVCL_1547,5793
18β-Glycyrrhetinic acid,CVCL_0152,5793
Folic acid,CVCL_1495,5792
Tirabrutinib,CVCL_0099,5790
Fluvoxamine (maleate),CVCL_0504,5790
Vemurafenib,CVCL_1666,5789
Amsacrine,CVCL_C466,5789
Fluvoxamine (maleate),CVCL_0320,5789
Plicamycin,CVCL_1550,5789
Tucatinib,CVCL_1097,5788
Aspirin,CVCL_0023,5788
Idarubicin (hydrochloride),CVCL_1119,5788
Sulfisoxazole,CVCL_0366,5787
LY2090314,CVCL_1550,5787
Delamanid,CVCL_0504,5786
Decitabine,CVCL_1285,5786
L-Eflornithine (monohydrochloride),CVCL_0359,5786
Methyl aminolevulinate (hydrochloride),CVCL_0152,5785
Abemaciclib,CVCL_0152,5785
Vemurafenib,CVCL_1547,5784
Tofacitinib,CVCL_1381,5784
Ixazomib,CVCL_0152,5784
Bestatin,CVCL_1381,5784
Clotrimazole,CVCL_1097,5784
Mebendazole,CVCL_1495,5784
Perindopril (erbumine),CVCL_1094,5784
Filgotinib,CVCL_0099,5783
Ribociclib,CVCL_0371,5782
Goserelin (acetate),CVCL_1731,5781
Fulvestrant,CVCL_0397,5781
Cyclosporin A,CVCL_0332,5781
Filgotinib,CVCL_0131,5781
Pentoxifylline,CVCL_0293,5781
Palmatine (chloride),CVCL_1547,5780
Larotrectinib sulfate,CVCL_0359,5780
Relugolix,CVCL_0179,5780
Bortezomib,CVCL_0399,5779
Tirabrutinib,CVCL_0371,5779
Phenylephrine (hydrochloride),CVCL_0504,5779
Ataluren,CVCL_0152,5779
Filgotinib,CVCL_0320,5779
Naproxen,CVCL_0179,5778
Captopril,CVCL_1731,5777
Darolutamide,CVCL_1731,5777
Oxaliplatin,CVCL_C466,5777
Econazole,CVCL_0320,5776
Lipoic acid,CVCL_1495,5776
Fingolimod (hydrochloride),CVCL_0399,5776
Gallic acid,CVCL_1495,5775
Pimozide,CVCL_1056,5774
Resveratrol,CVCL_1717,5774
Posaconazole,CVCL_0359,5772
Oxaliplatin,CVCL_1119,5772
Acetohexamide,CVCL_1056,5772
Dimethyl fumarate,CVCL_0131,5772
Clotrimazole,CVCL_0371,5772
c-Kit-IN-1,CVCL_0397,5772
Amsacrine,CVCL_1547,5772
Tirabrutinib (hydrochloride),CVCL_1478,5771
Capmatinib,CVCL_1285,5770
Megestrol,CVCL_1550,5769
Oxaliplatin,CVCL_0397,5769
Entecavir (monohydrate),CVCL_1478,5768
XRK3F2,CVCL_0399,5767
Diphenhydramine,CVCL_0371,5767
Ropivacaine (hydrochloride monohydrate),CVCL_0320,5767
Temsirolimus,CVCL_1097,5766
Olanzapine,CVCL_0366,5765
Ataluren,CVCL_1635,5765
MK-8353,CVCL_0480,5764
Rosiglitazone,CVCL_1056,5764
Tirabrutinib (hydrochloride),CVCL_1666,5764
Tirabrutinib (hydrochloride),CVCL_C466,5763
Vandetanib,CVCL_0359,5763
Vitamin K4,CVCL_1381,5762
Selinexor,CVCL_0371,5761
Irinotecan (hydrochloride),CVCL_0099,5761
Abemaciclib,CVCL_1056,5760
Trimetrexate,CVCL_0320,5759
Resveratrol,CVCL_0320,5759
ETC-206,CVCL_0504,5758
Docetaxel (Trihydrate),CVCL_1693,5757
Cinacalcet,CVCL_1119,5756
Lucanthone,CVCL_0371,5756
Hexylresorcinol,CVCL_1094,5756
Uridine,CVCL_1517,5756
Canagliflozin (hemihydrate),CVCL_0131,5756
Rucaparib (phosphate),CVCL_0293,5756
EX229,CVCL_0293,5756
Gefitinib,CVCL_1517,5755
Ornidazole,CVCL_1495,5754
Omeprazole,CVCL_0152,5754
S-Adenosyl-L-methionine (disulfate tosylate),CVCL_1495,5753
Peretinoin,CVCL_1285,5753
Thymol,CVCL_0293,5752
Glasdegib,CVCL_0131,5752
Rutin (trihydrate),CVCL_0023,5752
(S)-Crizotinib,CVCL_0023,5752
Brivudine,CVCL_0152,5751
DTP3,CVCL_0428,5750
AT7519,CVCL_1097,5750
Adenosine,CVCL_1717,5749
Proglumide,CVCL_1056,5749
Entecavir (monohydrate),CVCL_1097,5749
Piroxicam,CVCL_1550,5749
Artemether,CVCL_1550,5749
Hexylresorcinol,CVCL_1731,5748
Bergenin,CVCL_0366,5747
Macitentan,CVCL_1056,5747
Oleic acid,CVCL_0023,5746
Hexylresorcinol,CVCL_1055,5746
Panobinostat,CVCL_0292,5746
Malotilate,CVCL_0397,5744
Lenalidomide (hemihydrate),CVCL_0152,5744
Estrone sulfate (potassium),CVCL_0399,5743
Rimonabant (Hydrochloride),CVCL_0359,5743
Menadione,CVCL_0480,5743
Bicalutamide,CVCL_0293,5742
Ipatasertib,CVCL_1550,5741
BAY1125976,CVCL_0371,5741
Cloxacillin (sodium),CVCL_1094,5740
Tirabrutinib (hydrochloride),CVCL_0152,5740
Resveratrol,CVCL_1547,5739
olaparib,CVCL_0131,5739
Vandetanib,CVCL_0399,5739
Belumosudil (mesylate),CVCL_0152,5738
L-Thyroxine (sodium salt pentahydrate),CVCL_0131,5738
Capmatinib,CVCL_0152,5738
Tetracycline (hydrochloride),CVCL_1550,5738
Rapamycin,CVCL_1478,5737
Relugolix,CVCL_0069,5736
Topotecan (hydrochloride),CVCL_0366,5736
Megestrol,CVCL_1119,5735
Nevirapine,CVCL_0399,5735
Tubulin inhibitor 6,CVCL_0371,5735
Ranolazine,CVCL_1381,5734
Abiraterone acetate,CVCL_0371,5734
Ciclopirox,CVCL_1119,5734
Furosemide,CVCL_1097,5733
Dihydroartemisinin,CVCL_1693,5733
L-Thyroxine (sodium salt pentahydrate),CVCL_0023,5730
Crizotinib (hydrochloride),CVCL_1550,5729
Edoxaban (tosylate monohydrate),CVCL_0069,5729
Flutamide,CVCL_0023,5728
Pasireotide (acetate),CVCL_1547,5727
Phenylephrine (hydrochloride),CVCL_0293,5727
Retinoic acid,CVCL_0366,5724
AZD-8055,CVCL_C466,5724
Bexarotene,CVCL_0359,5723
Gallic acid (hydrate),CVCL_1097,5722
Lonafarnib,CVCL_1097,5722
Rimonabant (Hydrochloride),CVCL_1381,5721
Delamanid,CVCL_0371,5721
venetoclax,CVCL_0023,5720
Atazanavir (sulfate),CVCL_1381,5720
AZD-8055,CVCL_1056,5720
Gemfibrozil,CVCL_0332,5719
Crizotinib (hydrochloride),CVCL_1381,5718
LB-100,CVCL_0320,5715
Terfenadine,CVCL_1495,5715
Salicylic acid,CVCL_C466,5715
Pentoxifylline,CVCL_1731,5715
Fulvestrant,CVCL_1550,5714
Brimonidine,CVCL_0397,5714
Oleic acid,CVCL_1517,5714
Balsalazide (sodium hydrate),CVCL_1055,5713
Macitentan,CVCL_0399,5712
Lipoic acid,CVCL_0397,5712
DT-061,CVCL_0131,5711
18β-Glycyrrhetinic acid,CVCL_1517,5710
Vitamin K4,CVCL_0359,5709
APTO-253,CVCL_0504,5707
Triamcinolone,CVCL_1097,5707
Loperamide (hydrochloride),CVCL_0293,5706
Cyclosporin A,CVCL_0504,5705
Omeprazole (sodium),CVCL_0293,5705
Tofacitinib,CVCL_1097,5704
Rucaparib (phosphate),CVCL_1478,5704
Almonertinib (hydrochloride),CVCL_1550,5704
Terfenadine,CVCL_C466,5703
Methotrexate,CVCL_0359,5702
Diammonium Glycyrrhizinate,CVCL_0397,5699
Vandetanib,CVCL_0023,5698
Lactate (calcium),CVCL_1381,5697
Methyl aminolevulinate (hydrochloride),CVCL_0397,5697
Digitoxin,CVCL_1056,5697
Gallic acid (hydrate),CVCL_0504,5696
Omeprazole (sodium),CVCL_1495,5696
5-Fluorouracil,CVCL_1381,5696
Minodronic acid,CVCL_1478,5695
Pentamidine (isethionate),CVCL_1495,5695
Citalopram (hydrobromide),CVCL_1495,5694
Bimiralisib,CVCL_0023,5694
8-Hydroxyquinoline,CVCL_0366,5691
Olanzapine,CVCL_C466,5691
Pasireotide (acetate),CVCL_1098,5690
Apalutamide,CVCL_1381,5689
Selinexor,CVCL_1097,5688
Carbidopa (monohydrate),CVCL_1717,5688
Dapagliflozin,CVCL_1094,5688
4EGI-1,CVCL_0023,5687
Ritonavir,CVCL_1547,5687
Diphenhydramine,CVCL_0320,5687
Almonertinib (hydrochloride),CVCL_1056,5687
Artemether,CVCL_0152,5687
Fluvoxamine (maleate),CVCL_0359,5686
Lonafarnib,CVCL_0371,5685
Allopurinol,CVCL_0292,5685
Pioglitazone,CVCL_0293,5685
Ciclopirox,CVCL_1478,5684
Isocorydine,CVCL_1119,5684
Tucatinib,CVCL_1056,5683
Esmolol (hydrochloride),CVCL_0099,5682
Quinidine (15% dihydroquinidine),CVCL_0023,5682
Rapamycin,CVCL_1517,5681
Adenine,CVCL_0366,5681
Edoxaban (tosylate monohydrate),CVCL_1097,5681
Indacaterol (maleate),CVCL_1495,5680
Pentamidine (isethionate),CVCL_C466,5680
Isocorydine,CVCL_1381,5680
DTP3,CVCL_1097,5679
Fedratinib (hydrochloride hydrate),CVCL_0504,5679
Orlistat,CVCL_1693,5679
Furosemide,CVCL_0320,5679
Fluvoxamine (maleate),CVCL_1097,5679
ML264,CVCL_0320,5678
Topotecan (hydrochloride),CVCL_C466,5677
Tomivosertib,CVCL_0371,5677
Rifaximin,CVCL_1056,5677
Piroxicam,CVCL_1666,5676
Tofacitinib (citrate),CVCL_1119,5675
Trimetrexate,CVCL_1097,5675
18β-Glycyrrhetinic acid,CVCL_1550,5675
Glasdegib,CVCL_0152,5675
ETC-206,CVCL_1550,5675
Fulvestrant,CVCL_C466,5673
Hexylresorcinol,CVCL_0069,5673
Gallic acid (hydrate),CVCL_0320,5673
Levobupivacaine (hydrochloride),CVCL_0399,5673
Hexylresorcinol,CVCL_1666,5673
LB-100,CVCL_0504,5672
Clopidogrel,CVCL_1547,5670
Allopurinol,CVCL_1635,5669
Filgotinib,CVCL_1547,5669
Ornidazole,CVCL_1731,5669
Fenofibrate,CVCL_1056,5669
Tolcapone,CVCL_1098,5668
Tetracycline (hydrochloride),CVCL_0332,5668
crizotinib,CVCL_1119,5668
Trametinib (DMSO_TF solvate),CVCL_0023,5667
Pralsetinib,CVCL_0334,5667
Captopril,CVCL_1717,5667
APTO-253,CVCL_1550,5666
Lenalidomide (hemihydrate),CVCL_1056,5665
Ornidazole,CVCL_1097,5664
Riluzole hydrochloride,CVCL_0218,5662
Plicamycin,CVCL_0293,5662
Lucanthone,CVCL_0320,5662
Temsirolimus,CVCL_1478,5661
Cinacalcet,CVCL_1381,5661
AT7519,CVCL_1478,5660
Proglumide,CVCL_1119,5659
Pyridoxine,CVCL_0371,5659
Erlotinib,CVCL_0320,5658
Trametinib,CVCL_1055,5658
Flutamide,CVCL_1119,5657
Flumatinib (mesylate),CVCL_0179,5657
Dihydroartemisinin,CVCL_1056,5656
Lipoic acid,CVCL_1094,5656
Levobupivacaine (hydrochloride),CVCL_1056,5655
Fingolimod (hydrochloride),CVCL_1119,5655
Tazarotene,CVCL_0023,5654
Azithromycin (hydrate),CVCL_1517,5654
Ponatinib,CVCL_1635,5653
Vemurafenib,CVCL_1731,5653
Methyl aminolevulinate (hydrochloride),CVCL_1717,5653
(S)-Crizotinib,CVCL_1381,5652
Dexamethasone,CVCL_1381,5651
Nimesulide,CVCL_1693,5651
Mebendazole,CVCL_0320,5651
8-Hydroxyquinoline,CVCL_1098,5651
ETC-206,CVCL_0371,5651
Penfluridol,CVCL_0480,5650
Rapamycin,CVCL_1097,5650
Dabrafenib,CVCL_0359,5649
Captopril,CVCL_0152,5649
Gallic acid (hydrate),CVCL_1119,5648
BI-78D3,CVCL_1517,5648
Paclitaxel,CVCL_0292,5648
5-Azacytidine,CVCL_1119,5648
Dapagliflozin,CVCL_0218,5647
Dabrafenib,CVCL_1119,5647
Cepharanthine,CVCL_1517,5647
Fostamatinib (disodium hexahydrate),CVCL_1550,5646
Belzutifan,CVCL_0546,5645
AZD-8055,CVCL_0359,5645
Dimethyl fumarate,CVCL_1550,5644
Pexidartinib (hydrochloride),CVCL_0371,5644
Salicylic acid,CVCL_0366,5643
Dexamethasone,CVCL_0371,5643
Ponatinib,CVCL_C466,5643
Minodronic acid,CVCL_0397,5640
Vinblastine (sulfate),CVCL_0359,5639
Allantoin,CVCL_1717,5639
Gallic acid,CVCL_1094,5639
Daptomycin,CVCL_0152,5639
9-ING-41,CVCL_0320,5639
Entrectinib,CVCL_0504,5639
Berberine (chloride hydrate),CVCL_0069,5638
ML264,CVCL_0131,5638
Vinblastine (sulfate),CVCL_0371,5638
9-ING-41,CVCL_1056,5638
Fostamatinib (disodium hexahydrate),CVCL_0359,5636
Encorafenib,CVCL_0023,5636
MK-8353,CVCL_0152,5635
Delamanid,CVCL_0320,5635
Brivudine,CVCL_1717,5634
Pimitespib,CVCL_0293,5634
Fusidic acid,CVCL_1495,5633
Osimertinib (mesylate),CVCL_1119,5633
Dorzolamide (hydrochloride),CVCL_1693,5632
Pralsetinib,CVCL_0371,5631
Dimethyl fumarate,CVCL_1495,5631
Tofacitinib (citrate),CVCL_1517,5630
Bestatin,CVCL_0504,5630
Doxycycline (monohydrate),CVCL_1693,5630
Trimetrexate,CVCL_1478,5629
Sulfisoxazole,CVCL_C466,5629
Delamanid,CVCL_1495,5629
Pyridoxine,CVCL_1056,5628
Fluvoxamine,CVCL_1119,5627
Trametinib (DMSO_TF solvate),CVCL_0504,5627
Belzutifan,CVCL_0459,5627
Relugolix,CVCL_1094,5626
Fulvestrant,CVCL_0152,5626
Sulfatinib,CVCL_1056,5626
Docetaxel,CVCL_0359,5626
Resveratrol,CVCL_1097,5625
Lucanthone,CVCL_1495,5625
Darinaparsin,CVCL_0320,5625
Bexarotene,CVCL_0371,5625
Sivelestat (sodium tetrahydrate),CVCL_0504,5624
Citalopram (hydrobromide),CVCL_1097,5622
Trifluridine,CVCL_1381,5621
Furosemide,CVCL_C466,5621
Demeclocycline,CVCL_1119,5621
Talc,CVCL_1119,5620
Clopidogrel,CVCL_1097,5620
Berberine (chloride hydrate),CVCL_1731,5620
Harringtonine,CVCL_1056,5620
Tucidinostat,CVCL_0397,5619
Vilanterol,CVCL_1517,5619
AZD-8055,CVCL_1119,5619
Vilanterol,CVCL_0371,5618
LB-100,CVCL_0371,5618
Indacaterol (maleate),CVCL_1550,5618
Cilostazol,CVCL_0023,5618
Bergenin,CVCL_1098,5617
Encorafenib,CVCL_0131,5615
Pyridoxine (hydrochloride),CVCL_0069,5615
GSK1059615,CVCL_0399,5614
LY2090314,CVCL_0359,5614
Uridine,CVCL_1239,5614
Abiraterone acetate,CVCL_1731,5613
Sinomenine,CVCL_1717,5613
Artesunate,CVCL_1635,5613
Temsirolimus,CVCL_1119,5612
Artesunate,CVCL_0069,5612
Tubulin inhibitor 6,CVCL_0320,5611
Acetazolamide,CVCL_0399,5611
Tucidinostat,CVCL_0366,5611
Cabozantinib (S-malate),CVCL_0023,5611
Econazole,CVCL_0131,5608
Citalopram (hydrobromide),CVCL_1731,5608
XRK3F2,CVCL_0293,5607
Darinaparsin,CVCL_1119,5607
Paclitaxel,CVCL_0366,5606
Darinaparsin,CVCL_0504,5606
Amsacrine,CVCL_1098,5606
Fusidic acid,CVCL_0397,5605
Nimesulide,CVCL_1119,5604
AZD-8055,CVCL_1717,5603
Ornidazole,CVCL_1478,5603
Clonidine (hydrochloride),CVCL_0428,5602
Plicamycin,CVCL_0371,5602
Brimonidine,CVCL_0152,5601
LB-100,CVCL_0359,5600
Ouabain (Octahydrate),CVCL_0397,5599
Furosemide,CVCL_1381,5599
Lidocaine (hydrochloride),CVCL_0131,5598
Adenine,CVCL_1094,5597
venetoclax,CVCL_1478,5596
Lumateperone (tosylate),CVCL_0366,5595
Ligustrazine,CVCL_0399,5595
Rimonabant (Hydrochloride),CVCL_1495,5595
Lapatinib ditosylate,CVCL_1119,5594
Bicalutamide,CVCL_1478,5594
Anethole trithione,CVCL_1495,5593
Monocrotaline,CVCL_1285,5593
Selinexor,CVCL_1381,5592
Abemaciclib,CVCL_1550,5592
Dexmedetomidine,CVCL_1381,5592
Rimonabant,CVCL_1098,5591
Cilostazol,CVCL_1381,5591
Abemaciclib,CVCL_1693,5591
Ponatinib,CVCL_1495,5591
Mebendazole,CVCL_1381,5590
Gemcitabine,CVCL_0179,5590
Captopril,CVCL_1635,5590
Diammonium Glycyrrhizinate,CVCL_0366,5590
Busulfan,CVCL_1547,5590
Lenalidomide (hemihydrate),CVCL_0504,5590
Posaconazole,CVCL_1495,5590
Everolimus,CVCL_1666,5589
Fulvestrant,CVCL_1547,5588
Darolutamide,CVCL_0131,5588
Triclosan,CVCL_C466,5587
Panobinostat,CVCL_0504,5587
Ornidazole,CVCL_0152,5587
Econazole,CVCL_0332,5587
Tomivosertib,CVCL_0320,5586
Pentamidine (isethionate),CVCL_1693,5584
5-Fluorouracil,CVCL_0371,5584
Bicalutamide,CVCL_1666,5583
Berberine (chloride hydrate),CVCL_0179,5583
Daptomycin,CVCL_1550,5583
Tetracycline (hydrochloride),CVCL_1495,5582
Goserelin (acetate),CVCL_0292,5581
PF-06260933,CVCL_0293,5581
Niclosamide (olamine),CVCL_0023,5581
Fedratinib (hydrochloride hydrate),CVCL_1550,5580
Vemurafenib,CVCL_1098,5578
BAY1125976,CVCL_1550,5578
AT7519,CVCL_1119,5576
Pralsetinib,CVCL_1550,5576
Radotinib,CVCL_0359,5575
Roxadustat,CVCL_1119,5574
Finasteride,CVCL_0428,5574
Indacaterol (maleate),CVCL_0504,5573
Ornidazole,CVCL_0332,5572
Aspirin,CVCL_1381,5571
Irinotecan,CVCL_1097,5570
Trifluridine,CVCL_1717,5570
Alpelisib,CVCL_1550,5570
Anastrozole,CVCL_0366,5570
Edoxaban (tosylate monohydrate),CVCL_0152,5570
18β-Glycyrrhetinic acid,CVCL_0359,5569
Pexidartinib (hydrochloride),CVCL_0504,5569
Benztropine (mesylate),CVCL_0504,5569
Relugolix,CVCL_1666,5568
Fluvoxamine (maleate),CVCL_1056,5568
Temsirolimus,CVCL_1717,5568
Dabrafenib,CVCL_1478,5567
Omeprazole,CVCL_1717,5567
Carbidopa (monohydrate),CVCL_0397,5567
Ropivacaine (hydrochloride monohydrate),CVCL_1547,5567
Hesperidin,CVCL_1119,5567
Amsacrine,CVCL_1381,5566
Dorzolamide (hydrochloride),CVCL_0399,5566
Phenylephrine (hydrochloride),CVCL_1495,5566
4EGI-1,CVCL_0504,5566
c-Kit-IN-1,CVCL_0371,5566
Irinotecan,CVCL_1478,5565
Mebendazole,CVCL_0131,5564
Abiraterone acetate,CVCL_0320,5563
Crizotinib (hydrochloride),CVCL_0320,5563
Berberine (chloride hydrate),CVCL_1635,5562
Medroxyprogesterone acetate,CVCL_0371,5562
BI-78D3,CVCL_0480,5561
Radotinib,CVCL_1381,5560
Cysteamine (hydrochloride),CVCL_0397,5559
Lactate (calcium),CVCL_1119,5559
Darinaparsin,CVCL_1097,5559
Daidzin,CVCL_0179,5559
Everolimus,CVCL_0218,5559
Diphenhydramine,CVCL_0359,5558
Elagolix sodium,CVCL_1478,5558
Tomivosertib,CVCL_0152,5558
Busulfan,CVCL_1097,5558
Tetracycline (hydrochloride),CVCL_0371,5557
Atazanavir (sulfate),CVCL_0332,5556
Torkinib,CVCL_0152,5556
Medroxyprogesterone acetate,CVCL_0320,5555
Cloxacillin (sodium),CVCL_1731,5555
Sapanisertib,CVCL_0397,5555
Belinostat,CVCL_1119,5554
Ritonavir,CVCL_0371,5554
olaparib,CVCL_1517,5554
Docetaxel,CVCL_1517,5553
Rutin (trihydrate),CVCL_0359,5553
Torkinib,CVCL_1285,5553
Ribociclib,CVCL_0131,5553
Entecavir (monohydrate),CVCL_1717,5552
Filgotinib,CVCL_1666,5552
Fulvestrant,CVCL_1717,5552
Voriconazole,CVCL_0359,5551
Ouabain (Octahydrate),CVCL_1717,5551
Artemether,CVCL_0397,5549
Bestatin,CVCL_0359,5548
Brivudine,CVCL_0320,5548
Pyridoxine (hydrochloride),CVCL_0179,5548
Belumosudil (mesylate),CVCL_1517,5547
venetoclax,CVCL_1097,5546
Lidocaine (hydrochloride),CVCL_0399,5545
Quinidine (15% dihydroquinidine),CVCL_1381,5545
Ataluren,CVCL_0069,5544
Gemfibrozil,CVCL_1731,5544
Estrone sulfate (potassium),CVCL_0359,5544
Pralsetinib,CVCL_1381,5543
Balsalazide (sodium hydrate),CVCL_1495,5542
AZD2858,CVCL_0546,5541
Tirabrutinib,CVCL_0069,5541
Allopurinol,CVCL_0069,5541
Bexarotene,CVCL_0504,5541
Trametinib,CVCL_1239,5540
Tirabrutinib,CVCL_1097,5539
Atazanavir (sulfate),CVCL_1550,5538
Abiraterone acetate,CVCL_1478,5537
Arbutin,CVCL_1119,5537
Belumosudil (mesylate),CVCL_0480,5537
Fusidic acid,CVCL_1094,5537
olaparib,CVCL_1693,5536
Phenylephrine (hydrochloride),CVCL_1550,5535
Paclitaxel,CVCL_1635,5535
Radotinib,CVCL_1550,5534
Brivudine,CVCL_0359,5534
Alpelisib,CVCL_1285,5534
Berberine (chloride hydrate),CVCL_0332,5533
Doxorubicin (hydrochloride),CVCL_0334,5533
Diammonium Glycyrrhizinate,CVCL_C466,5533
Tucatinib,CVCL_1119,5532
Pyridoxine (hydrochloride),CVCL_0292,5532
Flutamide,CVCL_1381,5532
Trametinib (DMSO_TF solvate),CVCL_0320,5532
Capmatinib,CVCL_1517,5532
Bexarotene,CVCL_1550,5532
AZD1390,CVCL_0152,5531
Ponatinib,CVCL_1097,5531
Harringtonine,CVCL_C466,5530
L-Thyroxine (sodium salt pentahydrate),CVCL_0504,5528
Omeprazole (sodium),CVCL_1097,5528
Adenine,CVCL_1495,5528
Selinexor,CVCL_1717,5527
Cloxacillin (sodium),CVCL_0332,5526
Omeprazole,CVCL_0292,5525
Monocrotaline,CVCL_1693,5524
Idarubicin (hydrochloride),CVCL_0152,5524
Rapamycin,CVCL_0371,5523
Panobinostat,CVCL_0320,5522
Filgotinib,CVCL_1550,5522
Idarubicin (hydrochloride),CVCL_0023,5522
PH-797804,CVCL_1517,5521
LY2090314,CVCL_0371,5520
Estrone sulfate (potassium),CVCL_1381,5520
Pyridoxine (hydrochloride),CVCL_1495,5519
Pentamidine (isethionate),CVCL_1094,5519
Futibatinib,CVCL_0023,5519
Cysteamine (hydrochloride),CVCL_1547,5518
palbociclib,CVCL_0152,5518
Perindopril (erbumine),CVCL_1517,5516
Tubulin inhibitor 6,CVCL_1478,5516
Baicalin,CVCL_1731,5515
Megestrol,CVCL_1717,5515
Brivudine,CVCL_1478,5515
Erlotinib,CVCL_1381,5513
Abemaciclib,CVCL_0131,5511
9-ING-41,CVCL_0371,5511
Econazole,CVCL_1550,5510
Tirabrutinib (hydrochloride),CVCL_0069,5509
Pentoxifylline,CVCL_0504,5509
Relugolix,CVCL_1731,5509
olaparib,CVCL_C466,5508
Trimetrexate,CVCL_1717,5508
Gallic acid,CVCL_0332,5508
(S)-Crizotinib,CVCL_1550,5508
Lipoic acid,CVCL_1731,5508
Perindopril (erbumine),CVCL_0366,5507
Idarubicin (hydrochloride),CVCL_1517,5507
Benproperine (phosphate),CVCL_1056,5506
Raltitrexed,CVCL_0366,5505
Pioglitazone,CVCL_0371,5505
Capivasertib,CVCL_0371,5505
Sapanisertib,CVCL_1056,5504
Gefitinib,CVCL_0099,5504
Clotrimazole,CVCL_1381,5503
Canagliflozin,CVCL_0334,5503
Tofacitinib (citrate),CVCL_1097,5501
Econazole,CVCL_1731,5500
Demeclocycline,CVCL_1547,5500
Folic acid,CVCL_0069,5500
Palmatine (chloride),CVCL_1717,5500
Tirabrutinib,CVCL_1495,5499
Irinotecan (hydrochloride),CVCL_1055,5499
Edoxaban (tosylate monohydrate),CVCL_1717,5498
Flutamide,CVCL_0399,5498
Goserelin (acetate),CVCL_1635,5496
γ-Oryzanol,CVCL_1495,5496
Tolcapone,CVCL_0218,5496
